date,tag,catch_lat,catch_lon,catch_score,catch_bands,catch_bmean,peak_lat,peak_lon,peak_score,peak_bands,peak_bmean,offset_nm,offset_lat_nm,offset_lon_nm,catch_sst_C,peak_sst_C,diff_sst_C,catch_chl,peak_chl,diff_chl,catch_mld,peak_mld,diff_mld,catch_ssh,peak_ssh,diff_ssh,catch_cur_speed,peak_cur_speed,diff_cur_speed,catch_depth,peak_depth,diff_depth,catch_s_sst,peak_s_sst,catch_s_sst_front,peak_s_sst_front,catch_s_front_corridor,peak_s_front_corridor,catch_s_chl,peak_s_chl,catch_s_ssh,peak_s_ssh,catch_s_mld,peak_s_mld,catch_s_current,peak_s_current,catch_s_convergence,peak_s_convergence,catch_s_depth,peak_s_depth,catch_s_shelf_break,peak_s_shelf_break
2017-02-19,B072418,-31.7333,114.95,0.886,2,0.8,-31.775,115.025,0.951,2,0.8,4.6,-2.5,3.8,22.52,22.29,-0.23,0.1394,0.152,0.0126,12.1,12.1,0.0,0.2841,0.2945,0.0104,0.2187,0.1657,-0.053,199,203,4,1.0,0.993,0.484,0.47,1.0,0.993,0.999,0.989,0.746,0.732,1.0,1.0,0.96,0.789,0.756,0.726,1.0,1.0,0.465,0.82
2017-03-06,B097342,-32.0667,115.1667,0.845,3,0.459,-32.125,115.175,0.901,4,0.604,3.5,-3.5,0.4,23.04,23.01,-0.03,0.163,0.1638,0.0008,18.3,18.6,0.3,0.3302,0.3296,-0.0006,0.0704,0.0619,-0.0085,46,42,-4,0.985,0.986,0.101,0.085,0.492,0.493,0.934,0.92,0.742,0.738,1.0,1.0,0.206,0.162,0.497,0.522,1.0,1.0,0.289,0.333
2021-02-14,A618116,-31.8833,115.1833,0.802,2,0.55,-31.825,115.225,0.865,3,0.491,4.1,3.5,2.1,22.44,22.54,0.1,0.1713,0.1742,0.0029,11.3,11.1,-0.2,0.2927,0.296,0.0033,0.1045,0.0557,-0.0488,151,194,43,0.999,1.0,0.277,0.274,0.999,1.0,0.919,0.899,0.722,0.687,1.0,1.0,0.577,0.362,0.185,0.474,1.0,1.0,0.116,0.086
2021-02-14,B119403,-31.8833,115.1833,0.802,2,0.55,-31.825,115.225,0.865,3,0.491,4.1,3.5,2.1,22.44,22.54,0.1,0.1713,0.1742,0.0029,11.3,11.1,-0.2,0.2927,0.296,0.0033,0.1045,0.0557,-0.0488,151,194,43,0.999,1.0,0.277,0.274,0.999,1.0,0.919,0.899,0.722,0.687,1.0,1.0,0.577,0.362,0.185,0.474,1.0,1.0,0.116,0.086
2021-02-14,B096892,-31.8833,115.1667,0.802,2,0.55,-31.825,115.225,0.865,3,0.491,4.6,3.5,3.0,22.44,22.54,0.1,0.1713,0.1742,0.0029,11.3,11.1,-0.2,0.2927,0.296,0.0033,0.1045,0.0557,-0.0488,144,194,50,0.999,1.0,0.277,0.274,0.999,1.0,0.919,0.899,0.722,0.687,1.0,1.0,0.577,0.362,0.185,0.474,1.0,1.0,0.116,0.086
2021-04-06,B152636,-31.7167,114.95,0.825,4,0.759,-31.775,114.975,0.926,4,0.761,3.7,-3.5,1.3,24.07,24.0,-0.07,0.2863,0.2871,0.0008,12.1,11.4,-0.7,0.3531,0.4172,0.0641,1.0013,0.8982,-0.1031,189,164,-25,0.875,0.886,0.173,0.244,0.438,0.664,0.309,0.304,0.6,0.6,1.0,1.0,0.903,0.909,0.325,0.922,1.0,1.0,0.465,1.0
2022-02-19,A634421,-32.0667,115.2333,0.909,6,0.763,-32.025,115.225,0.928,6,0.763,2.5,2.5,-0.4,24.02,24.01,-0.01,0.1258,0.1326,0.0068,18.0,17.4,-0.6,0.4993,0.4999,0.0006,0.4452,0.4427,-0.0025,46,45,-1,0.883,0.884,0.336,0.354,0.883,0.884,0.972,0.992,0.744,0.738,1.0,1.0,0.911,0.903,0.122,0.203,1.0,1.0,0.176,0.433
2022-12-29,B128729,-32.0833,115.1833,0.804,3,0.667,-32.125,115.125,0.896,3,0.667,3.9,-2.5,-3.0,21.75,21.74,-0.01,0.1685,0.1642,-0.0043,25.8,23.7,-2.1,0.3281,0.3311,0.003,0.1819,0.0415,-0.1404,42,41,-1,0.917,0.917,0.552,0.385,0.917,0.917,0.929,0.932,0.831,0.855,0.926,0.967,0.862,0.299,0.437,0.26,1.0,1.0,0.289,0.343
2023-03-06,B097312,-31.9333,115.35,0.836,2,1.0,-31.975,115.275,0.865,5,0.665,4.6,-2.5,-3.8,22.82,22.93,0.11,0.2167,0.1723,-0.0444,21.7,35.9,14.2,0.2618,0.2676,0.0058,0.389,0.1007,-0.2883,136,99,-37,0.995,0.991,0.391,0.432,0.995,0.991,0.755,0.892,0.83,0.881,0.959,0.85,1.0,0.843,0.019,0.046,1.0,1.0,0.091,0.173
2025-03-03,,-31.992617,115.212883,0.939,6,0.747,-31.975,115.225,0.939,6,0.747,1.2,1.1,0.6,23.99,23.99,0.0,0.1366,0.1366,0.0,37.1,37.1,0.0,0.2015,0.2015,0.0,0.1715,0.1715,0.0,63,94,31,0.887,0.887,0.303,0.303,0.887,0.887,0.998,0.998,0.652,0.652,0.773,0.773,0.768,0.768,0.001,0.001,1.0,1.0,1.0,1.0
2025-03-04,,-31.99043,115.19013,0.805,2,0.735,-31.925,115.225,0.911,5,0.5,4.3,3.9,1.8,24.03,23.99,-0.04,0.1441,0.1452,0.0011,62.2,49.2,-13.0,0.1992,0.1992,0.0,0.1419,0.0339,-0.108,52,131,79,0.881,0.887,0.23,0.227,0.661,0.666,0.999,0.997,0.635,0.64,0.481,0.579,0.506,0.157,0.0,0.0,1.0,1.0,1.0,0.69
2026-03-18,,-31.970165,115.211433,0.848,4,0.75,-31.925,115.125,0.851,2,0.722,5.2,2.7,-4.4,22.72,22.85,0.13,0.1689,0.1535,-0.0154,15.2,13.9,-1.3,0.0898,0.1045,0.0147,0.148,0.1269,-0.0211,95,112,17,0.998,0.994,0.808,0.213,0.998,0.746,0.923,0.979,0.486,0.579,1.0,1.0,0.629,0.575,0.253,0.894,1.0,1.0,1.0,1.0
2026-03-18,,-32.06127,115.14585,0.809,3,0.681,-32.075,115.075,0.871,3,0.687,3.7,-0.8,-3.6,22.74,22.75,0.01,0.1533,0.148,-0.0053,19.3,14.8,-4.5,0.0895,0.1041,0.0146,0.1071,0.0559,-0.0512,46,47,1,0.997,0.997,0.36,0.159,0.997,0.748,0.989,0.992,0.568,0.615,1.0,1.0,0.277,0.196,0.887,0.777,1.0,1.0,0.631,0.951
